

Partidas,Jugador,Máquina
1,1,0
Partidas,Jugador,Máquina
1,1,0
Partidas,Jugador,Máquina
1,1,0
Partidas,Jugador,Máquina
1,1,0
Partidas,Jugador,Máquina
1,1,0
Partidas,Jugador,Máquina
1,1,0
Partidas,Jugador,Máquina
1,1,0
Partidas,Jugador,Máquina
1,1,0
Partidas,Jugador,Máquina
1,1,0
Partidas,Jugador,Máquina
1,1,0
